exp_id,symbols,strategies,entry_mode,mkt_order,metric,min_goodness,mean_goodness,min_return_pct,mean_return_pct,min_sortino,best_lookback,best_switch,best_sit_out,best_selection,status
prod7_prod7_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.002,sticky,done
prod7_prod7_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.001,sticky,done
prod7_prod7_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.002,sticky,done
prod7_prod7_nonyt_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7_nonyt,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.005,-0.001,sticky,done
prod7_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7_nonyt,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,24,0.0025,-0.001,sticky,done
prod7_prod7_nonyt_emfirsttrigger_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7_nonyt,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.005,-0.001,sticky,done
prod7_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,NYT",prod7_nonyt,first_trigger,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,24,0.0025,-0.001,sticky,done
add_meta_core5_emedgerank_mkt0_metp10_fast,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",core5,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.001,sticky,done
add_meta_core5_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",core5,edge_rank,False,p10,1.3980,2.7138,0.1781,0.4917,1.0538,18,0.0025,-0.002,sticky,done
add_meta_prod7_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,edge_rank,False,p10,1.2644,3.4820,0.1438,0.6959,0.9500,18,0.0025,-0.002,sticky,done
add_meta_prod7_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7,first_trigger,False,p10,1.2644,3.4820,0.1438,0.6959,0.9500,18,0.0025,-0.002,sticky,done
add_meta_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,edge_rank,False,p10,1.2644,3.4051,0.1438,0.6901,0.9500,16,0.005,-0.001,sticky,done
add_meta_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,META",prod7_nonyt,first_trigger,False,p10,1.2644,3.4051,0.1438,0.6901,0.9500,16,0.005,-0.001,sticky,done
add_msft_prod7_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,edge_rank,False,p10,1.2644,3.4743,0.1438,0.6959,0.9500,18,0.0025,-0.002,sticky,done
add_msft_prod7_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7,first_trigger,False,p10,1.2644,3.4743,0.1438,0.6959,0.9500,18,0.0025,-0.002,sticky,done
add_msft_prod7_nonyt_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,edge_rank,False,p10,1.2644,3.4743,0.1438,0.6959,0.9500,24,0.0025,-0.001,sticky,done
add_msft_prod7_nonyt_emfirsttrigger_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,MSFT",prod7_nonyt,first_trigger,False,p10,1.2644,3.4743,0.1438,0.6959,0.9500,24,0.0025,-0.001,sticky,done
add_aapl_prod7_all_emedgerank_mkt0_metp10_fine,"NVDA,PLTR,GOOG,DBX,TRIP,MTCH,AAPL",prod7_all,edge_rank,False,p10,1.1880,2.1386,0.1484,0.4214,0.8291,22,0.0075,-0.002,sticky,done
