entry_offset_bps,exit_offset_bps,allocation_scale,confidence_threshold,fee_bps,train_sortino,train_return,train_max_dd,train_p10,val_sortino,val_return,val_max_dd,val_p10,num_train_windows,num_val_windows
20,-20,1.5,0.0,0.0,0.5621,0.0230,-0.0663,-0.1312,-0.2707,-0.0111,-0.0551,-0.0654,551,237
0,-15,2.0,0.0,0.0,1.0091,0.0597,-0.0755,-0.1375,0.4893,0.0203,-0.0588,-0.0656,551,237
25,-15,1.5,0.0,0.0,0.5577,0.0229,-0.0662,-0.1313,-0.2754,-0.0113,-0.0551,-0.0656,551,237
-25,-25,1.25,0.0,0.0,0.8614,0.0309,-0.0458,-0.0853,0.3050,0.0071,-0.0364,-0.0656,551,237
5,-10,2.0,0.0,0.0,1.0043,0.0594,-0.0755,-0.1377,0.4861,0.0200,-0.0588,-0.0658,551,237
10,-5,2.0,0.0,0.0,0.9995,0.0592,-0.0755,-0.1379,0.4829,0.0198,-0.0588,-0.0660,551,237
-25,-5,1.5,0.0,0.0,1.1694,0.0508,-0.0520,-0.0759,0.8130,0.0234,-0.0429,-0.0662,551,237
15,0,2.0,0.0,0.0,0.9947,0.0589,-0.0755,-0.1381,0.4797,0.0195,-0.0588,-0.0662,551,237
20,5,2.0,0.0,0.0,0.9837,0.0584,-0.0757,-0.1383,0.4728,0.0190,-0.0590,-0.0667,551,237
25,10,2.0,0.0,0.0,0.9728,0.0571,-0.0759,-0.1394,0.4603,0.0175,-0.0592,-0.0672,551,237
-20,0,2.0,0.0,0.0,1.3130,0.0913,-0.0691,-0.0987,0.9813,0.0413,-0.0572,-0.0675,551,237
-20,-25,1.5,0.0,0.0,0.9589,0.0451,-0.0555,-0.1065,0.3212,0.0107,-0.0438,-0.0676,551,237
-15,-20,1.5,0.0,0.0,0.9740,0.0466,-0.0555,-0.1067,0.3152,0.0105,-0.0438,-0.0678,551,237
-15,5,2.0,0.0,0.0,1.3588,0.0922,-0.0693,-0.0987,0.9759,0.0408,-0.0575,-0.0680,551,237
