dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,max_leverage,enable_shorts,trailing_stop_pct,sma_filter_period,market_breadth_filter,mean_sortino,min_sortino,max_sortino,mean_return_pct,min_return_pct,max_return_pct,mean_drawdown_pct,worst_drawdown_pct,mean_n_trades,total_n_trades,mean_win_rate,n_windows,w0_sortino,w0_return_pct,w0_drawdown_pct,w0_n_trades,w1_sortino,w1_return_pct,w1_drawdown_pct,w1_n_trades,w2_sortino,w2_return_pct,w2_drawdown_pct,w2_n_trades
0.07,0.05,0.07,0.2,10,14,10,sma,2.0,False,0.05,10,0.8,-238456.25337548865,-398482.04278324073,0.0,-0.6310210386703329,-1.0637326729683627,0.0,-0.6310210386703329,-1.0637326729683627,1.0,3,16.666666666666668,3,-316886.71734322514,-0.829330443042636,-0.829330443042636,1,-398482.04278324073,-1.0637326729683627,-1.0637326729683627,2,0.0,0.0,0.0,0
0.07,0.03,0.07,0.2,10,21,10,sma,3.0,False,0.03,20,0.6,-158443.35867161487,-475330.07601484464,0.0,-0.41466522152132407,-1.2439956645639723,0.0,-0.41466522152132407,-1.2439956645639723,0.3333333333333333,1,0.0,3,-475330.07601484464,-1.2439956645639723,-1.2439956645639723,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.05,0.07,0.05,10,14,30,high,1.0,False,0.03,20,0.6,-217427.64469935687,-504996.87738438515,-1.3413050861377613,-2.4273409393255436,-5.8216269556119915,-0.3237878426023599,-2.8441132111788345,-7.071943771171864,4.0,12,16.666666666666668,3,-504996.87738438515,-1.1366080197622797,-1.1366080197622797,1,-147284.71540859932,-0.3237878426023599,-0.3237878426023599,6,-1.3413050861377613,-5.8216269556119915,-7.071943771171864,5
0.15,0.03,0.05,0.15,3,14,20,close,2.0,False,0.0,20,0.8,-64282.936661673324,-581006.3774095451,388162.88986616844,-4.452836420817014,-12.800410206232135,0.9624641293492642,-5.240034507762595,-12.800410206232135,2.0,6,27.777777777777775,3,-581006.3774095451,-1.5205631855681714,-1.5205631855681714,1,388162.88986616844,0.9624641293492642,-1.399130131487479,2,-5.322441643290446,-12.800410206232135,-12.800410206232135,3
0.07,0.03,0.1,0.15,3,14,10,sma,3.0,False,0.0,20,0.8,-358753.4648724477,-600930.3186024984,0.0,-0.9493854392840452,-1.6041606532881634,0.0,-0.9493854392840452,-1.6041606532881634,1.0,3,16.666666666666668,3,-475330.07601484464,-1.2439956645639723,-1.2439956645639723,1,-600930.3186024984,-1.6041606532881634,-1.6041606532881634,2,0.0,0.0,0.0,0
0.07,0.03,0.15,0.05,7,14,10,close,1.0,False,0.05,10,0.0,-444504.6603754091,-675135.4890017274,-0.5401270077151136,-1.163584616472532,-1.481826311780187,-0.9485967693664314,-1.620794494201067,-2.3032779523201885,4.0,12,22.61904761904762,3,-658377.9519974922,-1.481826311780187,-1.481826311780187,4,-0.5401270077151136,-0.9485967693664314,-2.3032779523201885,7,-675135.4890017274,-1.0603307682709782,-1.077279218502825,1
0.07,0.01,0.1,0.15,5,30,20,sma,1.0,False,0.05,10,0.0,-477719.7060142164,-688284.7263884866,-93418.04423646144,-1.1515617736200936,-1.670840400132165,-0.23470674794378285,-1.1515617736200936,-1.670840400132165,1.0,3,0.0,3,-688284.7263884866,-1.5491381727843327,-1.5491381727843327,1,-93418.04423646144,-0.23470674794378285,-0.23470674794378285,1,-651456.3474177014,-1.670840400132165,-1.670840400132165,1
0.05,0.02,0.1,0.1,7,21,10,sma,2.0,False,0.0,20,0.8,-308981.65386237286,-712425.379600059,0.0,-0.8048991236627384,-1.8645024337154246,0.0,-0.8048991236627384,-1.8645024337154246,0.6666666666666666,2,0.0,3,-712425.379600059,-1.8645024337154246,-1.8645024337154246,1,-214519.58198705956,-0.5501949372727905,-0.5501949372727905,1,0.0,0.0,0.0,0
0.07,0.02,0.05,0.05,3,7,10,sma,5.0,False,0.05,20,0.0,-286241.48077881936,-793852.4931161612,0.0,-0.7497947446552947,-2.077606929524409,0.0,-0.8874966711457425,-2.077606929524409,0.6666666666666666,2,0.0,3,-793852.4931161612,-2.077606929524409,-2.077606929524409,1,-64871.9492202968,-0.1717773044414753,-0.5848830839128184,1,0.0,0.0,0.0,0
0.2,0.05,0.2,0.05,10,14,30,close,1.0,False,0.05,20,0.6,11631.639654569715,-963117.8357649611,1044612.9419917277,0.5510315569535972,-1.5520928185151934,3.3100715964618574,-0.9976866280595519,-2.8881757770927834,2.0,6,44.444444444444436,3,-46600.187263057414,-0.10488410708587254,-0.10488410708587254,1,1044612.9419917277,3.3100715964618574,0.0,2,-963117.8357649611,-1.5520928185151934,-2.8881757770927834,3
0.05,0.02,0.15,0.15,7,7,30,sma,3.0,False,0.0,20,0.6,-92832.72287010179,-1021471.108619652,742999.4385781304,-9.472265623769138,-27.40329641179578,1.6598116129197298,-11.256671875454098,-27.40329641179578,2.3333333333333335,7,33.333333333333336,3,-1021471.108619652,-2.673312072431363,-2.673312072431363,1,742999.4385781304,1.6598116129197298,-3.693407142135153,1,-26.498568783826872,-27.40329641179578,-27.40329641179578,5
0.07,0.05,0.07,0.2,10,21,20,sma,2.0,False,0.0,10,0.7,-577864.4947401601,-1049646.385962444,-20521.996665701023,-1.417716936471934,-2.3624631232943467,-0.05263434957130812,-2.491527973052587,-5.059486446292106,2.3333333333333335,7,33.33333333333333,3,-1049646.385962444,-2.3624631232943467,-2.3624631232943467,3,-20521.996665701023,-0.05263434957130812,-0.05263434957130812,1,-663425.1015923353,-1.838053336550147,-5.059486446292106,3
0.15,0.01,0.07,0.2,5,7,30,close,1.0,False,0.03,20,0.7,-584657.5862676214,-1056728.2378451608,-0.665690192689531,-3.0706740548628417,-5.319628750234552,-1.5693026890219879,-4.803373242484449,-10.517726313099374,4.0,12,0.0,3,-697243.8552675106,-1.5693026890219879,-1.5693026890219879,1,-1056728.2378451608,-2.3230907253319857,-2.3230907253319857,5,-0.665690192689531,-5.319628750234552,-10.517726313099374,6
0.07,0.02,0.15,0.1,3,7,20,sma,5.0,False,0.0,20,0.7,-371742.6004230147,-1062253.7282190053,0.0,-0.9719705872994564,-2.780045066052353,0.0,-0.9719705872994564,-2.780045066052353,0.6666666666666666,2,0.0,3,-1062253.7282190053,-2.780045066052353,-2.780045066052353,1,-52974.07305003889,-0.13586669584601624,-0.13586669584601624,1,0.0,0.0,0.0,0
0.05,0.05,0.03,0.05,7,7,10,sma,3.0,False,0.0,20,0.6,-463472.48079356155,-1068638.0694000954,0.0,-1.2073486854941136,-2.796753650573155,0.0,-1.2073486854941136,-2.796753650573155,0.6666666666666666,2,0.0,3,-1068638.0694000954,-2.796753650573155,-2.796753650573155,1,-321779.37298058934,-0.8252924059091856,-0.8252924059091856,1,0.0,0.0,0.0,0
0.1,0.01,0.03,0.08,5,30,20,sma,2.0,False,0.05,0,0.6,-396243.0532466459,-1188729.1597399376,0.0,-0.8918333008867739,-2.675499902660322,0.0,-0.8918333008867739,-2.675499902660322,1.0,3,0.0,3,-1188729.1597399376,-2.675499902660322,-2.675499902660322,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0
