dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,safety_core,safety_all,mean_sort_core,mean_sort_all,n_pos_core,n_pos_all,worst_dd_pct,sort_30d,ret_30d,dd_30d,trades_30d,wr_30d,sort_60d,ret_60d,dd_60d,trades_60d,wr_60d,sort_90d,ret_90d,dd_90d,trades_90d,wr_90d,sort_180d,ret_180d,dd_180d,trades_180d,wr_180d,sort_365d,ret_365d,dd_365d,trades_365d,wr_365d,sort_crash_dec_jan,ret_crash_dec_jan,dd_crash_dec_jan,trades_crash_dec_jan,wr_crash_dec_jan,sort_bull_jun_sep,ret_bull_jun_sep,dd_bull_jun_sep,trades_bull_jun_sep,wr_bull_jun_sep
0.15,0.2,0.08,7,7,0.0,0,3.0,113.8713,241.4781,48.9081,44.4495,3,7,-28.8509,50.0,437.871,-6.4792,35,35.71,46.7242,446.6349,-9.4054,349,2.34,50.0,317.929,-25.8583,180,2.22,50.0,243.2754,-27.4264,154,0.0,32.1693,348.0165,-28.8509,266,12.03,45.9143,370.7193,-25.7954,204,11.76,36.3389,339.8686,-26.2644,260,6.92
0.12,0.15,0.1,7,21,0.0,20,3.0,118.8538,240.6009,50.0,43.3788,3,7,-26.2055,50.0,422.5294,-11.8296,17,40.0,50.0,428.4734,-11.0633,77,20.0,50.0,311.3563,-25.4396,38,5.26,40.1652,289.0195,-25.3959,86,6.98,45.7124,365.156,-26.2055,142,23.94,50.0,400.2485,-17.5883,50,28.0,17.7739,464.6127,-20.9973,173,41.86
0.1,0.2,0.08,7,21,0.0,0,3.0,105.79,240.3541,45.0374,43.8534,3,7,-27.7174,50.0,420.9066,-9.7433,43,5.56,35.1123,424.4755,-11.2862,455,0.45,50.0,314.5501,-25.2046,130,1.54,50.0,224.2045,-27.4263,154,0.0,36.0041,382.969,-25.5161,278,7.19,50.0,338.6693,-27.7174,240,4.17,35.8576,433.2711,-27.0673,284,9.15
0.12,0.15,0.1,7,14,0.0,20,3.0,119.3944,239.8265,50.0,43.0434,3,7,-25.634,50.0,422.5294,-11.8296,17,40.0,50.0,452.1702,-9.4116,83,21.05,50.0,311.3563,-25.4396,38,5.26,40.1652,289.0195,-25.3959,86,6.98,45.4742,365.156,-25.634,146,23.29,50.0,403.9266,-16.8009,52,30.77,15.6643,433.1657,-23.2555,179,39.33
0.15,0.2,0.15,7,14,0.0,20,3.0,118.5972,239.73,50.0,43.3153,3,7,-26.4785,50.0,439.2957,-3.0078,9,100.0,50.0,462.337,-9.7123,41,29.41,50.0,325.1512,-25.0904,28,0.0,41.083,263.4952,-26.4785,34,5.88,50.0,343.5014,-25.0952,96,37.5,47.403,424.7969,-16.9951,34,47.06,14.7209,345.473,-25.476,90,28.89
0.15,0.2,0.15,7,14,0.0,0,3.0,109.8452,239.6512,47.3153,44.2408,3,7,-29.2235,50.0,424.4755,-8.7187,7,0.0,41.9458,424.4755,-12.291,219,0.0,50.0,320.107,-25.4719,94,0.0,50.0,243.2754,-27.4254,154,0.0,33.6121,336.4299,-27.6792,152,17.11,50.0,339.0903,-29.2235,110,10.91,34.1276,342.2767,-26.3213,116,12.07
0.12,0.15,0.05,7,21,0.03,20,3.0,118.7177,238.8827,50.0,43.1184,3,7,-26.3501,50.0,438.2011,-2.4278,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,35.6357,267.3513,-26.3501,118,25.42,45.7894,375.2646,-25.3217,454,38.77,50.0,476.5752,-6.0197,190,53.68,20.4035,438.2715,-20.9502,534,45.32
0.12,0.15,0.05,7,7,0.03,20,3.0,118.7177,238.8827,50.0,43.1184,3,7,-26.3501,50.0,438.2011,-2.4278,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,35.6357,267.3513,-26.3501,118,25.42,45.7894,375.2646,-25.3217,454,38.77,50.0,476.5752,-6.0197,190,53.68,20.4035,438.2715,-20.9502,534,45.32
0.12,0.15,0.05,7,14,0.03,20,3.0,118.7177,238.8827,50.0,43.1184,3,7,-26.3501,50.0,438.2011,-2.4278,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,35.6357,267.3513,-26.3501,118,25.42,45.7894,375.2646,-25.3217,454,38.77,50.0,476.5752,-6.0197,190,53.68,20.4035,438.2715,-20.9502,534,45.32
0.15,0.2,0.15,7,21,0.0,20,3.0,117.6564,238.8561,50.0,43.5025,3,7,-27.4899,50.0,439.2957,-3.0078,9,100.0,50.0,427.4035,-9.7779,35,21.43,50.0,321.8017,-25.6806,26,0.0,37.6312,258.4948,-27.4899,42,9.52,48.1952,345.7704,-25.5578,92,34.78,50.0,415.6655,-18.9108,32,43.75,18.691,449.5909,-15.5188,76,43.24
0.12,0.15,0.05,7,21,0.0,20,3.0,117.546,238.3812,50.0,43.4568,3,7,-27.6096,50.0,410.2849,-11.9477,39,18.75,50.0,419.9093,-11.3735,143,10.29,50.0,419.9093,-19.5716,181,9.2,28.3603,278.1581,-27.6096,108,5.56,50.0,337.0593,-25.2956,260,10.77,50.0,405.2348,-15.4682,88,20.45,25.8371,421.0421,-26.1936,236,20.34
0.12,0.15,0.05,7,14,0.0,20,3.0,117.546,238.1899,50.0,43.4219,3,7,-27.6096,50.0,410.2849,-11.9477,39,18.75,50.0,419.9093,-11.3735,143,10.29,50.0,419.9093,-19.5716,181,9.2,28.3603,278.1581,-27.6096,108,5.56,50.0,337.0593,-25.2956,260,10.77,50.0,394.6949,-17.3034,90,20.0,25.5929,416.1367,-26.3769,236,20.34
0.15,0.2,0.15,7,14,0.05,20,3.0,118.0967,238.1452,50.0,43.2113,3,7,-27.0146,50.0,217.3111,-4.4056,30,53.33,50.0,368.5571,-7.5932,130,44.62,50.0,433.9382,-10.6004,178,47.19,50.0,264.398,-25.5252,48,20.83,25.8502,381.8249,-27.0146,646,46.44,50.0,429.0837,-5.2713,86,53.49,26.6289,556.4225,-11.3774,262,56.49
0.15,0.2,0.15,7,7,0.05,20,3.0,118.0967,238.1452,50.0,43.2113,3,7,-27.0146,50.0,217.3111,-4.4056,30,53.33,50.0,368.5571,-7.5932,130,44.62,50.0,433.9382,-10.6004,178,47.19,50.0,264.398,-25.5252,48,20.83,25.8502,381.8249,-27.0146,646,46.44,50.0,429.0837,-5.2713,86,53.49,26.6289,556.4225,-11.3774,262,56.49
0.15,0.2,0.15,7,21,0.05,20,3.0,118.0967,238.1452,50.0,43.2113,3,7,-27.0146,50.0,217.3111,-4.4056,30,53.33,50.0,368.5571,-7.5932,130,44.62,50.0,433.9382,-10.6004,178,47.19,50.0,264.398,-25.5252,48,20.83,25.8502,381.8249,-27.0146,646,46.44,50.0,429.0837,-5.2713,86,53.49,26.6289,556.4225,-11.3774,262,56.49
0.15,0.15,0.08,7,14,0.0,0,3.0,114.0703,238.1412,50.0,44.7358,3,7,-31.4979,50.0,434.9848,-6.6767,29,18.18,50.0,425.1041,-9.4054,347,1.76,50.0,285.6088,-31.4979,194,2.06,50.0,243.2754,-27.4264,154,0.0,30.7239,344.4138,-27.6867,264,10.61,46.2067,340.7543,-28.719,254,6.3,36.22,348.2411,-25.1565,240,6.67
0.1,0.1,0.08,7,7,0.0,20,3.0,116.0431,237.4603,50.0,43.8495,3,7,-29.2623,50.0,420.9056,-9.5412,41,23.53,50.0,424.5504,-10.9865,135,20.31,50.0,303.3166,-26.2415,68,11.76,48.9839,267.148,-29.2623,102,9.8,29.8395,434.2488,-25.1637,472,25.85,50.0,360.8916,-20.7804,96,31.25,28.1233,434.2488,-25.1637,172,39.53
0.1,0.2,0.15,7,7,0.0,20,3.0,117.2618,237.2259,50.0,43.351,3,7,-27.9189,50.0,420.9077,-11.1903,23,37.5,50.0,424.3834,-9.5027,79,27.78,50.0,424.3834,-23.5907,115,20.37,38.1849,286.5257,-27.1343,78,12.82,44.2556,394.2724,-25.4706,132,31.82,43.4967,343.2041,-25.1914,66,36.36,27.5196,438.3488,-27.9189,128,39.06
0.12,0.1,0.05,7,14,0.03,20,3.0,117.9256,237.1202,50.0,43.0878,3,7,-27.1989,50.0,434.4586,-2.4446,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.0989,306,44.0,35.2391,263.1179,-27.1989,118,25.42,46.2423,375.2646,-25.0531,454,39.21,50.0,471.8552,-6.0666,190,53.68,20.1329,438.2715,-19.5346,534,45.69
0.12,0.1,0.05,7,7,0.03,20,3.0,117.9256,237.1202,50.0,43.0878,3,7,-27.1989,50.0,434.4586,-2.4446,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.0989,306,44.0,35.2391,263.1179,-27.1989,118,25.42,46.2423,375.2646,-25.0531,454,39.21,50.0,471.8552,-6.0666,190,53.68,20.1329,438.2715,-19.5346,534,45.69
0.12,0.1,0.05,7,21,0.03,20,3.0,117.9256,237.1202,50.0,43.0878,3,7,-27.1989,50.0,434.4586,-2.4446,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.0989,306,44.0,35.2391,263.1179,-27.1989,118,25.42,46.2423,375.2646,-25.0531,454,39.21,50.0,471.8552,-6.0666,190,53.68,20.1329,438.2715,-19.5346,534,45.69
0.15,0.2,0.05,7,7,0.0,0,3.0,106.6153,236.8358,45.2855,43.1132,3,7,-27.4268,50.0,428.1042,-6.559,43,22.22,35.8564,436.1218,-11.7692,413,2.96,50.0,319.6144,-25.6885,208,1.92,50.0,243.2754,-27.4268,154,0.0,29.6867,346.9906,-26.3348,348,7.47,50.0,350.2352,-25.2806,312,5.77,36.2491,339.7783,-26.8117,298,4.7
0.12,0.12,0.1,7,14,0.0,20,3.0,119.3336,236.5789,50.0,42.4822,3,7,-25.6981,50.0,426.1213,-11.734,19,50.0,50.0,442.1355,-9.6145,87,22.5,50.0,310.3081,-25.6296,42,9.52,40.1707,289.0195,-25.3955,86,6.98,41.9616,350.3564,-25.6981,188,24.47,50.0,405.5176,-14.7766,62,35.48,15.2428,405.9332,-24.4939,187,39.78
0.1,0.12,0.1,7,7,0.0,20,3.0,115.6188,236.2593,50.0,43.7879,3,7,-29.7367,50.0,424.5504,-9.4857,33,23.08,50.0,424.5504,-9.4913,117,21.82,50.0,297.4354,-26.325,66,12.12,28.222,272.7209,-29.7367,96,10.42,50.0,353.6272,-25.6437,190,25.26,50.0,351.4258,-23.4224,90,33.33,28.2931,420.6989,-28.3759,166,40.96
0.1,0.2,0.1,7,7,0.0,20,3.0,115.6187,236.1505,50.0,43.7677,3,7,-29.7369,50.0,424.5504,-10.0694,31,25.0,50.0,420.9826,-11.0783,111,21.15,50.0,294.4931,-26.8704,64,9.38,26.6369,272.7209,-29.7369,96,10.42,50.0,385.1672,-25.6273,168,26.19,50.0,353.0029,-25.3489,84,28.57,29.7372,455.8863,-25.4557,148,37.84
0.1,0.2,0.1,7,14,0.0,20,3.0,115.8428,235.9571,50.0,43.6473,3,7,-29.4859,50.0,420.905,-10.8867,15,0.0,50.0,420.98,-10.3218,83,5.26,50.0,294.4931,-26.8704,52,7.69,26.8829,274.0524,-29.4859,96,10.42,49.8921,375.1493,-26.7344,144,23.61,50.0,361.4974,-22.9322,66,24.24,28.756,423.8352,-27.3768,120,33.33
0.12,0.2,0.15,7,21,0.0,20,3.0,118.2078,235.6489,50.0,42.7182,3,7,-26.8952,50.0,424.4755,-10.3039,7,0.0,50.0,408.3361,-10.5039,43,22.22,50.0,300.7038,-26.8952,30,13.33,35.7851,285.5642,-26.0608,92,6.52,48.1092,408.3768,-25.3622,108,40.74,46.6487,358.081,-23.5263,38,31.58,18.4841,472.7612,-22.275,123,43.33
