dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,mean_sortino,mean_return_pct,worst_dd_pct,mean_trades,mean_win_rate,n_pos_windows,safety,sort_30d,sort_60d,sort_90d,ret_30d,ret_60d,ret_90d,dd_30d,dd_60d,dd_90d,trades_30d,trades_60d,trades_90d
0.15,0.1,0.08,10,21,0.05,20,3.0,50.0,371.6761,-10.3179,114.0,44.05,3,135.9706,50.0,50.0,50.0,209.7568,336.7777,568.4937,-4.4056,-6.0746,-10.3179,30,130,182
0.15,0.2,0.15,7,7,0.05,20,3.0,50.0,339.9355,-10.6004,112.7,48.38,3,135.6234,50.0,50.0,50.0,217.3111,368.5571,433.9382,-4.4056,-7.5932,-10.6004,30,130,178
0.15,0.2,0.15,7,21,0.05,20,3.0,50.0,339.9355,-10.6004,112.7,48.38,3,135.6234,50.0,50.0,50.0,217.3111,368.5571,433.9382,-4.4056,-7.5932,-10.6004,30,130,178
0.15,0.2,0.15,7,14,0.05,20,3.0,50.0,339.9355,-10.6004,112.7,48.38,3,135.6234,50.0,50.0,50.0,217.3111,368.5571,433.9382,-4.4056,-7.5932,-10.6004,30,130,178
0.15,0.15,0.05,10,21,0.03,20,3.0,48.9175,370.6405,-8.3607,115.3,50.91,3,135.4297,46.7525,50.0,50.0,131.6558,296.5499,683.7158,-7.5245,-4.4517,-8.3607,30,130,186
0.15,0.15,0.05,10,7,0.03,20,3.0,48.9175,370.6405,-8.3607,115.3,50.91,3,135.4297,46.7525,50.0,50.0,131.6558,296.5499,683.7158,-7.5245,-4.4517,-8.3607,30,130,186
0.15,0.15,0.05,10,14,0.03,20,3.0,48.9175,370.6405,-8.3607,115.3,50.91,3,135.4297,46.7525,50.0,50.0,131.6558,296.5499,683.7158,-7.5245,-4.4517,-8.3607,30,130,186
0.15,0.15,0.08,5,7,0.03,20,3.0,50.0,304.7456,-10.7842,112.0,67.27,3,135.3984,50.0,50.0,50.0,223.9205,339.9139,350.4024,-4.0221,-2.9451,-10.7842,30,130,176
0.15,0.15,0.08,5,21,0.03,20,3.0,50.0,304.7456,-10.7842,112.0,67.27,3,135.3984,50.0,50.0,50.0,223.9205,339.9139,350.4024,-4.0221,-2.9451,-10.7842,30,130,176
0.15,0.15,0.08,5,14,0.03,20,3.0,50.0,304.7456,-10.7842,112.0,67.27,3,135.3984,50.0,50.0,50.0,223.9205,339.9139,350.4024,-4.0221,-2.9451,-10.7842,30,130,176
0.15,0.2,0.08,5,7,0.03,20,3.0,50.0,310.4342,-10.8265,112.0,67.27,3,135.3467,50.0,50.0,50.0,227.663,347.3989,356.2405,-4.0221,-2.8963,-10.8265,30,130,176
0.15,0.2,0.08,5,21,0.03,20,3.0,50.0,310.4342,-10.8265,112.0,67.27,3,135.3467,50.0,50.0,50.0,227.663,347.3989,356.2405,-4.0221,-2.8963,-10.8265,30,130,176
0.15,0.2,0.08,5,14,0.03,20,3.0,50.0,310.4342,-10.8265,112.0,67.27,3,135.3467,50.0,50.0,50.0,227.663,347.3989,356.2405,-4.0221,-2.8963,-10.8265,30,130,176
0.15,0.08,0.05,7,21,0.03,20,3.0,49.1318,286.491,-8.9595,113.3,51.65,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,440.9123,-8.9595,-5.3031,-8.4733,30,130,180
0.15,0.08,0.05,10,21,0.03,20,3.0,49.1318,367.3292,-8.9595,115.3,52.14,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,683.4267,-8.9595,-5.3031,-5.8996,30,130,186
0.15,0.08,0.05,7,14,0.03,20,3.0,49.1318,286.491,-8.9595,113.3,51.65,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,440.9123,-8.9595,-5.3031,-8.4733,30,130,180
0.15,0.08,0.05,10,7,0.03,20,3.0,49.1318,367.3292,-8.9595,115.3,52.14,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,683.4267,-8.9595,-5.3031,-5.8996,30,130,186
0.15,0.08,0.05,5,21,0.03,20,3.0,49.1318,236.6123,-8.9595,112.0,51.31,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,291.2761,-8.9595,-5.3031,-8.8941,30,130,176
0.15,0.08,0.05,5,7,0.03,20,3.0,49.1318,236.6123,-8.9595,112.0,51.31,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,291.2761,-8.9595,-5.3031,-8.8941,30,130,176
0.15,0.08,0.05,10,14,0.03,20,3.0,49.1318,367.3292,-8.9595,115.3,52.14,3,135.2753,47.3953,50.0,50.0,127.2847,291.2761,683.4267,-8.9595,-5.3031,-5.8996,30,130,186
