trial,window,start_date,end_date,n_trades,dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
21,w1,2026-01-13,2026-03-14,2,0.1,0.03,0.1,0.2,3,14,30,sma,50,0.0,0.0,-0.050399600399600425,-5.039960039960042,-1.3378507629397935,-2.8162321220949775,-0.05542335827833965,-5.5423358278339645,61,9496.003996003996,-0.0008448324917142941,0.0
21,w2,2025-11-14,2026-01-13,0,0.1,0.03,0.1,0.2,3,14,30,sma,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
21,w3,2025-09-15,2025-11-14,2,0.1,0.03,0.1,0.2,3,14,30,sma,50,0.0,0.0,-0.050399600399600425,-5.039960039960042,-1592278.4810291564,-2.1648977596108114,-0.05691793108273531,-5.691793108273531,61,9496.003996003996,-0.0008334366483962683,0.0
22,w1,2026-01-13,2026-03-14,58,0.15,0.02,0.07,0.1,3,21,10,high,20,0.0,0.03,0.19730254477781836,19.730254477781838,6.39666063620984,5.053332786866278,-0.052626471650043284,-5.262647165004329,61,11973.025447778184,0.0030725841761033404,75.86206896551724
22,w2,2025-11-14,2026-01-13,40,0.15,0.02,0.07,0.1,3,21,10,high,20,0.0,0.03,0.09988570440359658,9.988570440359657,0.722958504770136,1.1473025268840957,-0.21952336529352087,-21.95233652935209,61,8337.517800054957,0.0023547417598052396,40.0
22,w3,2025-09-15,2025-11-14,38,0.15,0.02,0.07,0.1,3,21,10,high,20,0.0,0.03,-0.2279120985805557,-22.79120985805557,-0.9682624052324345,-1.8358838507728643,-0.27485629609882883,-27.485629609882885,60,7716.271299672487,-0.003605216096240705,52.63157894736842
23,w1,2026-01-13,2026-03-14,36,0.12,0.02,0.07,0.08,5,14,30,high,0,0.6,0.03,-0.33850537744895637,-33.85053774489564,-6.886655780744069,-7.305728543585484,-0.33850537744895637,-33.85053774489564,14,6645.90649718075,-0.02827803751592821,5.555555555555555
23,w2,2025-11-14,2026-01-13,8,0.12,0.02,0.07,0.08,5,14,30,high,0,0.6,0.03,-0.3290110746274579,-32.901107462745784,-628574775.4885081,-628574775.4885081,-0.3290110746274579,-32.901107462745784,2,6709.889253725421,-0.3290110746274579,0.0
23,w3,2025-09-15,2025-11-14,38,0.12,0.02,0.07,0.08,5,14,30,high,0,0.6,0.03,-0.32571529080941647,-32.571529080941644,-18.533447258584864,-13.936525090649486,-0.32571529080941647,-32.571529080941644,10,6742.847091905835,-0.041150919373274066,5.263157894736842
24,w1,2026-01-13,2026-03-14,40,0.25,0.01,0.1,0.15,5,21,10,high,0,0.6,0.03,-0.18783732190255079,-18.78373219025508,-2.3003371748247674,-3.9983173348967007,-0.19683483496970866,-19.683483496970865,61,8121.626780974492,-0.0033287138641824687,30.0
