max_leverage,base_asset_sma_filter_period,base_asset_momentum_period,base_asset_min_momentum,n_trades,final_base_asset_qty,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
3.0,50,5,0.02,31,0.0,0.06982813511045806,6.982813511045806,1.1827653893450483,1.0714818019069126,-0.21609804449543704,-21.609804449543706,61,10698.28135110458,0.0014438618831620236,60.0
3.0,50,5,0.05,31,0.0,0.06982813511045806,6.982813511045806,1.1827653893450483,1.0714818019069126,-0.21609804449543704,-21.609804449543706,61,10698.28135110458,0.0014438618831620236,60.0
3.0,50,10,0.05,31,0.0,0.06715783480961272,6.715783480961273,1.0724094434267137,1.0315436974778098,-0.2193271139011182,-21.93271139011182,61,10671.578348096127,0.0014148285648154758,60.0
2.0,50,10,0.05,31,0.0,0.06680777869513513,6.680777869513513,1.2428793945921464,1.3269594258494248,-0.15670082383888845,-15.670082383888845,61,10668.077786951351,0.0012337681450015083,60.0
2.0,20,3,0.0,31,2.6009278778933154,0.05668530961177384,5.668530961177384,1.3953000461302871,1.018541894536165,-0.14258725083596194,-14.258725083596193,61,10566.853096117738,0.0011463120293607016,60.0
3.0,20,3,0.0,31,1.3605831678723397,0.052433818655661525,5.243381865566152,1.1727675177481438,0.830193860271869,-0.21198137493503902,-21.198137493503904,61,10524.338186556615,0.0012549886796419617,60.0
1.0,50,3,0.0,31,0.0,0.03686050934536124,3.686050934536124,1.600258924885191,1.481002070819921,-0.07732187784976192,-7.732187784976192,61,10368.605093453612,0.0006368932595460036,60.0
1.0,50,3,0.01,31,0.0,0.03686050934536124,3.686050934536124,1.600258924885191,1.481002070819921,-0.07732187784976192,-7.732187784976192,61,10368.605093453612,0.0006368932595460036,60.0
1.0,50,3,0.02,31,0.0,0.03686050934536124,3.686050934536124,1.600258924885191,1.481002070819921,-0.07732187784976192,-7.732187784976192,61,10368.605093453612,0.0006368932595460036,60.0
1.0,50,3,0.05,31,0.0,0.03686050934536124,3.686050934536124,1.600258924885191,1.481002070819921,-0.07732187784976192,-7.732187784976192,61,10368.605093453612,0.0006368932595460036,60.0
1.0,50,5,0.0,31,0.0,0.03313767873984998,3.3137678739849976,1.5096384191656238,1.3275715215447674,-0.08101241726185565,-8.101241726185565,61,10331.3767873985,0.0005777143850352474,60.0
1.0,50,5,0.01,31,0.0,0.03313767873984998,3.3137678739849976,1.5096384191656238,1.3275715215447674,-0.08101241726185565,-8.101241726185565,61,10331.3767873985,0.0005777143850352474,60.0
1.0,50,5,0.02,31,0.0,0.03313767873984998,3.3137678739849976,1.5096384191656238,1.3275715215447674,-0.08101241726185565,-8.101241726185565,61,10331.3767873985,0.0005777143850352474,60.0
1.0,50,5,0.05,31,0.0,0.03313767873984998,3.3137678739849976,1.5096384191656238,1.3275715215447674,-0.08101241726185565,-8.101241726185565,61,10331.3767873985,0.0005777143850352474,60.0
1.0,50,10,0.05,31,0.0,0.02013762193066195,2.0137621930661953,0.5512712726251167,0.738520093064999,-0.09389971381054645,-9.389971381054645,61,10201.37621930662,0.00038112734843348306,60.0
2.0,0,10,0.05,31,0.0,0.014601987963678766,1.4601987963678766,0.4132916664976886,0.4232976065966745,-0.14281042283630302,-14.281042283630303,61,10146.019879636788,0.0004169988967566263,60.0
3.0,0,10,0.05,31,0.0,0.014173787433106919,1.417378743310692,0.46592634683467143,0.4147167190561841,-0.20631415656516514,-20.631415656516513,61,10141.73787433107,0.0005790976262498616,60.0
2.0,20,5,0.05,31,2.383487198713358,0.011106264204788021,1.1106264204788021,0.41437417844893926,0.3641704138804512,-0.14780084615716307,-14.780084615716307,61,10111.06264204788,0.00034814875961960333,60.0
1.0,20,3,0.0,31,3.5850789948176347,0.0072345243573376135,0.7234524357337614,0.3306420118947553,0.29473646643169854,-0.07732187784976192,-7.732187784976192,61,10072.345243573376,0.0002451338387204486,60.0
3.0,20,5,0.05,31,1.138924547864335,0.0059706253640635625,0.5970625364063562,0.3793985461828135,0.3171929916606348,-0.21609804449543704,-21.609804449543706,61,10059.706253640636,0.00044407838029898744,60.0
3.0,20,10,0.05,31,0.0,0.004902238888159627,0.49022388881596274,0.351250619397577,0.30809068393518746,-0.2193271139011182,-21.93271139011182,61,10049.022388881596,0.0004376007469440519,60.0
2.0,20,10,0.05,31,0.0,0.004580349776005096,0.4580349776005096,0.2607768437535261,0.2566695620865711,-0.15670082383888845,-15.670082383888845,61,10045.803497760051,0.0002565565167698698,60.0
2.0,20,3,0.05,31,0.0,-0.006822886020141232,-0.6822886020141232,0.060829927978796335,0.04976703051200486,-0.14258725083596194,-14.258725083596193,61,9931.771139798588,4.7203216395073344e-05,60.0
3.0,20,3,0.05,31,0.0,-0.009878449675313641,-0.9878449675313641,0.15870496770672318,0.12378685950088757,-0.21198137493503902,-21.198137493503904,61,9901.215503246864,0.0001713878560585777,60.0
2.0,50,0,0.0,31,0.0,-0.0220126670292535,-2.20126670292535,-0.06691667023333249,-0.089043173748946,-0.23490323988988862,-23.490323988988862,61,9779.873329707465,-0.00010668153738904168,60.0
2.0,20,5,0.0,31,2.2134544198986936,-0.0245353267592267,-2.45353267592267,-0.27653043522011184,-0.23696271030039598,-0.14780084615716307,-14.780084615716307,61,9754.646732407733,-0.0002357767575059123,60.0
2.0,20,5,0.01,31,2.2134544198986936,-0.0245353267592267,-2.45353267592267,-0.27653043522011184,-0.23696271030039598,-0.14780084615716307,-14.780084615716307,61,9754.646732407733,-0.0002357767575059123,60.0
2.0,20,5,0.02,31,2.2134544198986936,-0.0245353267592267,-2.45353267592267,-0.27653043522011184,-0.23696271030039598,-0.14780084615716307,-14.780084615716307,61,9754.646732407733,-0.0002357767575059123,60.0
2.0,50,10,0.0,31,0.0,-0.026297079938934622,-2.629707993893462,-0.11180048729217452,-0.14857385964528472,-0.23544048357575265,-23.544048357575264,61,9737.029200610654,-0.00017848317393905682,60.0
2.0,50,10,0.01,31,0.0,-0.026297079938934622,-2.629707993893462,-0.11180048729217452,-0.14857385964528472,-0.23544048357575265,-23.544048357575264,61,9737.029200610654,-0.00017848317393905682,60.0
2.0,50,10,0.02,31,0.0,-0.026297079938934622,-2.629707993893462,-0.11180048729217452,-0.14857385964528472,-0.23544048357575265,-23.544048357575264,61,9737.029200610654,-0.00017848317393905682,60.0
3.0,20,5,0.0,31,0.9770807490249216,-0.027954424373458825,-2.7954424373458826,-0.10261931810917826,-0.08215934497232069,-0.21609804449543704,-21.609804449543706,61,9720.455756265412,-0.00011675303051940693,60.0
3.0,20,5,0.01,31,0.9770807490249216,-0.027954424373458825,-2.7954424373458826,-0.10261931810917826,-0.08215934497232069,-0.21609804449543704,-21.609804449543706,61,9720.455756265412,-0.00011675303051940693,60.0
