dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.25,0.005,0.15,0.1,5,21,30,sma,20,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.02,0.2,0.2,5,14,30,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.02,0.05,0.2,5,21,30,sma,20,0.7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.02,0.15,0.25,5,7,10,sma,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.07,0.005,0.2,0.25,5,14,10,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.02,0.07,0.1,5,14,10,high,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.005,0.2,0.15,5,21,20,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.03,0.07,0.08,3,7,10,sma,20,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.2,0.01,0.1,0.25,3,7,20,high,50,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.1,0.005,0.05,0.2,5,14,10,sma,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.25,0.01,0.15,0.08,3,7,30,sma,20,0.7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
0.15,0.02,0.1,0.2,5,7,10,sma,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
