dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,sma_filter_period,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.2,0.15,0.08,3,7,10,20,0.05,-0.0036200128492950173,-0.36200128492950173,-2.3502914673905417,-2.8675194120378946,-0.004359650663678258,-0.4359650663678258,30,9963.79987150705,-0.00012470124975005764,50.0,4
0.2,0.07,0.1,3,7,10,20,0.05,-0.0036200128492950173,-0.36200128492950173,-2.3502914673905417,-2.8675194120378946,-0.004359650663678258,-0.4359650663678258,30,9963.79987150705,-0.00012470124975005764,50.0,4
0.2,0.1,0.15,7,7,10,20,0.05,-0.0036200128492950173,-0.36200128492950173,-2.3502914673905417,-2.8675194120378946,-0.004359650663678258,-0.4359650663678258,30,9963.79987150705,-0.00012470124975005764,50.0,4
0.1,0.1,0.15,5,14,10,10,0.0,-0.07608375139745772,-7.608375139745773,-2.5223956001328927,-1.014933577678327,-0.2014676340268913,-20.146763402689132,30,8844.254633754179,-0.0020246621216235506,30.0,24
0.12,0.07,0.15,3,14,10,10,0.0,-0.04813754016585985,-4.813754016585985,-2.595532527888708,-1.2563117694720791,-0.14123298225348985,-14.123298225348984,30,9347.930307856659,-0.0014560087250099051,55.55555555555556,20
0.1,0.15,0.15,3,14,20,50,0.0,-0.01818931167079845,-1.8189311670798451,-2.839248065293825,-2.3844134715242777,-0.022632028665105306,-2.2632028665105306,30,9818.106883292015,-0.0006204333053959617,0.0,3
0.1,0.1,0.1,5,7,10,10,0.03,-0.09324316511146537,-9.324316511146536,-2.8724283386660585,-2.305285315363986,-0.17900213644819987,-17.90021364481999,30,8679.994913804278,-0.0030457531822814373,49.18032786885246,122
0.1,0.15,0.1,3,7,20,50,0.05,-0.026717757777433144,-2.6717757777433144,-2.891491743010323,-4.471933860448137,-0.032813412966933235,-3.2813412966933235,30,9732.822422225669,-0.0009255089324422031,33.33333333333333,12
0.2,0.07,0.1,3,7,20,20,0.0,-0.027720977652484362,-2.772097765248436,-3.1656889844347913,-1.758200189092239,-0.06938449095646902,-6.938449095646902,30,9722.790223475156,-0.0009194422006828785,40.0,10
0.12,0.1,0.08,5,7,20,50,0.05,-0.022513991278967298,-2.25139912789673,-3.2821108614438,-5.536954588153684,-0.022513991278967298,-2.25139912789673,30,9774.860087210327,-0.0007812468667511237,40.0,10
0.2,0.07,0.1,7,7,10,10,0.03,-0.02040613116721979,-2.040613116721979,-3.332762644749084,-4.62821127920864,-0.026366606230517575,-2.6366606230517573,30,9795.938688327802,-0.0007064130714478631,0.0,6
0.2,0.07,0.08,5,14,10,10,0.03,-0.02040613116721979,-2.040613116721979,-3.332762644749084,-4.62821127920864,-0.026366606230517575,-2.6366606230517573,30,9795.938688327802,-0.0007064130714478631,0.0,6
0.1,0.1,0.08,3,14,20,50,0.05,-0.03343317385761038,-3.343317385761038,-3.5990897455411046,-5.273779455864399,-0.039486770475503016,-3.9486770475503015,30,9665.668261423896,-0.001162939809967399,33.33333333333333,12
0.1,0.15,0.08,7,7,10,50,0.0,-0.03348451406195927,-3.348451406195927,-3.700394903151674,-3.502280691080316,-0.046066896878635535,-4.606689687863554,30,9665.154859380407,-0.0011538486659678961,0.0,6
0.12,0.1,0.06,7,7,10,10,0.03,-0.09758008785262479,-9.75800878526248,-3.818628466883724,-3.0039605076334723,-0.18031131400279096,-18.031131400279097,30,8834.808486928769,-0.003312187138052565,41.86046511627907,86
0.2,0.15,0.1,3,7,10,20,0.0,-0.05089910089910081,-5.089910089910081,-3.839734848648532,-5.081902454946316,-0.05680395333179988,-5.6803953331799875,30,9491.008991008992,-0.0017772385023811735,0.0,4
