trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
21,robust_reg_tp005,a100,val_return,0.7915,0.7915,12.32,0.5957,100.0,3.7885506570661396e+18,283.72,0.96,4521984,88.65369200706482,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
22,robust_reg_tp01,a100,val_return,0.6461,0.6461,10.89,0.5714,100.0,1.0647360980908402e+20,310.98,0.99,8323072,162.28943920135498,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
23,robust_reg_tp005_sds02,a100,val_return,-0.3052,-0.3052,-4.25,0.4348,0.0,1.6920600219001815e+18,275.15,0.96,4292608,82.09167194366455,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.02,0.0,0.99
24,robust_reg_tp005_sds02_t01,a100,val_return,0.8727,0.8727,12.78,0.625,100.0,5.287491604542233e+19,303.78,0.98,6946816,81.551344871521,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.01,0.0,0.99
25,robust_reg_tp005_sds02_t05,a100,val_return,-0.5834,-0.5834,-9.99,0.4778,0.0,4.03587309837505e+19,290.64,0.99,6881280,81.98655009269714,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.05,0.0,0.99
26,robust_reg_tp005_dd002,a100,val_return,1.118,1.118,14.98,0.5658,100.0,1.0892052455818789e+20,316.01,0.99,6717440,81.78402709960938,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.02,0.0,0.0,0.02,0.0,0.99
27,robust_reg_tp005_sm001,a100,val_return,0.4239,0.4239,8.78,0.4713,100.0,9.023718317436699e+19,289.6,0.99,6782976,81.69894909858704,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.01,0.99
28,robust_reg_tp005_ent,a100,val_return,2.5842,2.5842,23.94,0.5802,100.0,8.60414960608947e+20,301.97,1.0,14450688,161.8578236103058,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
29,robust_reg_h512_tp005,a100,val_return,-0.2056,-0.2056,-2.69,0.459,0.0,9.82182741976023e+19,302.38,0.99,7831552,80.53356862068176,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
30,kitchen_sink,a100,val_return,-0.5878,-0.5878,-6.05,0.5,0.0,5.598542564430761e+19,296.13,0.99,6782976,82.7617175579071,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,True,True,True,True,cosine,mlp,0.001,0.01,0.0,0.2,0.0,0.02,0.0,0.99
