checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/kitchen_sink,8sym,90,3.44,14.71,0.842,39.79,58,53.4,1.6
autoresearch_crypto8_daily/kitchen_sink,8sym,120,-23.54,-55.79,-0.446,48.45,83,53.0,1.4
autoresearch_crypto8_daily/kitchen_sink,8sym,180,-18.36,-33.73,0.058,57.08,123,53.7,1.5
autoresearch_crypto8_daily/lr_1e4,8sym,30,-2.35,-25.09,0.307,18.54,25,52.0,1.2
autoresearch_crypto8_daily/lr_1e4,8sym,60,5.87,41.47,1.126,25.67,51,54.9,1.2
autoresearch_crypto8_daily/lr_1e4,8sym,90,0.79,3.26,0.64,36.6,74,50.0,1.2
autoresearch_crypto8_daily/lr_1e4,8sym,120,-6.79,-19.25,0.349,35.18,105,52.4,1.1
autoresearch_crypto8_daily/lr_1e4,8sym,180,-19.71,-35.92,0.046,44.27,148,52.0,1.2
autoresearch_crypto8_daily/obs_norm,8sym,30,45.19,9237.08,15.486,11.31,23,60.9,1.3
autoresearch_crypto8_daily/obs_norm,8sym,60,26.34,314.6,4.349,24.43,52,51.9,1.2
autoresearch_crypto8_daily/obs_norm,8sym,90,25.9,154.49,2.679,31.33,81,53.1,1.1
autoresearch_crypto8_daily/obs_norm,8sym,120,-19.73,-48.74,-0.472,47.48,111,50.5,1.1
autoresearch_crypto8_daily/obs_norm,8sym,180,-37.1,-60.94,-0.958,67.87,157,52.2,1.1
autoresearch_crypto8_daily/random_mut_1849,8sym,30,1.65,22.07,0.848,18.55,26,65.4,1.2
autoresearch_crypto8_daily/random_mut_1849,8sym,60,26.82,324.35,3.093,18.55,49,63.3,1.2
autoresearch_crypto8_daily/random_mut_1849,8sym,90,-30.72,-77.43,-1.794,42.32,71,53.5,1.3
autoresearch_crypto8_daily/random_mut_1849,8sym,120,-3.06,-9.02,0.485,33.15,97,54.6,1.2
autoresearch_crypto8_daily/random_mut_1849,8sym,180,-22.37,-40.16,-0.218,52.51,151,53.6,1.2
autoresearch_crypto8_daily/random_mut_2158,8sym,30,43.93,8298.68,12.968,9.04,25,60.0,1.2
autoresearch_crypto8_daily/random_mut_2158,8sym,60,23.41,259.53,3.652,26.55,52,48.1,1.2
autoresearch_crypto8_daily/random_mut_2158,8sym,90,83.85,1081.71,6.961,15.78,82,56.1,1.1
autoresearch_crypto8_daily/random_mut_2158,8sym,120,20.42,75.98,1.56,44.79,106,54.7,1.1
autoresearch_crypto8_daily/random_mut_2158,8sym,180,-42.73,-67.7,-1.014,71.09,162,50.0,1.1
autoresearch_crypto8_daily/random_mut_6352,8sym,30,-22.65,-95.61,-3.34,26.69,24,54.2,1.2
autoresearch_crypto8_daily/random_mut_6352,8sym,60,-17.62,-69.24,-1.261,39.24,51,51.0,1.2
autoresearch_crypto8_daily/random_mut_6352,8sym,90,-39.18,-86.69,-2.559,47.16,74,47.3,1.2
autoresearch_crypto8_daily/random_mut_6352,8sym,120,-24.95,-58.22,-0.627,49.38,100,51.0,1.2
autoresearch_crypto8_daily/random_mut_6352,8sym,180,-18.71,-34.29,-0.051,54.69,161,52.2,1.1
autoresearch_crypto8_daily/reg_combo_1,8sym,30,24.42,1327.91,4.455,18.54,26,69.2,1.2
