symbol,split_date,factor,status
LCID,2024-03-28,0.0,UNRECOGNIZED_DROP
LCID,2024-04-04,0.0,UNRECOGNIZED_DROP
LCID,2024-04-11,0.0,UNRECOGNIZED_DROP
LCID,2024-04-24,0.0,UNRECOGNIZED_DROP
LCID,2024-04-30,0.0,UNRECOGNIZED_DROP
LCID,2024-05-07,0.0,UNRECOGNIZED_DROP
LCID,2024-05-14,0.0,UNRECOGNIZED_DROP
LCID,2024-05-20,0.0,UNRECOGNIZED_DROP
LCID,2024-05-31,0.0,UNRECOGNIZED_DROP
LCID,2024-06-06,0.0,UNRECOGNIZED_DROP
LCID,2024-06-14,0.0,UNRECOGNIZED_DROP
LCID,2024-06-27,0.0,UNRECOGNIZED_DROP
LCID,2024-07-03,0.0,UNRECOGNIZED_DROP
LCID,2024-07-11,0.0,UNRECOGNIZED_DROP
LCID,2024-07-17,0.0,UNRECOGNIZED_DROP
LCID,2024-07-24,0.0,UNRECOGNIZED_DROP
LCID,2024-08-06,0.0,UNRECOGNIZED_DROP
LCID,2024-08-16,0.0,UNRECOGNIZED_DROP
LCID,2024-08-22,0.0,UNRECOGNIZED_DROP
LCID,2024-08-29,0.0,UNRECOGNIZED_DROP
LCID,2024-09-05,0.0,UNRECOGNIZED_DROP
LCID,2024-09-12,0.0,UNRECOGNIZED_DROP
LCID,2024-09-26,0.0,UNRECOGNIZED_DROP
LCID,2024-10-03,0.0,UNRECOGNIZED_DROP
LCID,2024-10-09,0.0,UNRECOGNIZED_DROP
LCID,2024-10-22,0.0,UNRECOGNIZED_DROP
LCID,2024-10-28,0.0,UNRECOGNIZED_DROP
LCID,2024-11-04,0.0,UNRECOGNIZED_DROP
LCID,2024-11-15,0.0,UNRECOGNIZED_DROP
LCID,2024-11-29,0.0,UNRECOGNIZED_DROP
LCID,2024-12-05,0.0,UNRECOGNIZED_DROP
LCID,2024-12-12,0.0,UNRECOGNIZED_DROP
LCID,2024-12-19,0.0,UNRECOGNIZED_DROP
LCID,2024-12-26,0.0,UNRECOGNIZED_DROP
LCID,2025-01-08,0.0,UNRECOGNIZED_DROP
LCID,2025-01-22,0.0,UNRECOGNIZED_DROP
LCID,2025-01-28,0.0,UNRECOGNIZED_DROP
LCID,2025-02-04,0.0,UNRECOGNIZED_DROP
LCID,2025-02-10,0.0,UNRECOGNIZED_DROP
LCID,2025-02-18,0.0,UNRECOGNIZED_DROP
LCID,2025-03-03,0.0,UNRECOGNIZED_DROP
LCID,2025-03-07,0.0,UNRECOGNIZED_DROP
LCID,2025-03-14,0.0,UNRECOGNIZED_DROP
LCID,2025-03-21,0.0,UNRECOGNIZED_DROP
LCID,2025-03-27,0.0,UNRECOGNIZED_DROP
LCID,2025-04-08,0.0,UNRECOGNIZED_DROP
LCID,2025-04-14,0.0,UNRECOGNIZED_DROP
LCID,2025-04-23,0.0,UNRECOGNIZED_DROP
LCID,2025-05-05,0.0,UNRECOGNIZED_DROP
LCID,2025-05-09,0.0,UNRECOGNIZED_DROP
LCID,2025-05-16,0.0,UNRECOGNIZED_DROP
LCID,2025-05-22,0.0,UNRECOGNIZED_DROP
LCID,2025-05-30,0.0,UNRECOGNIZED_DROP
LCID,2025-06-12,0.0,UNRECOGNIZED_DROP
LCID,2025-06-18,0.0,UNRECOGNIZED_DROP
LCID,2025-06-26,0.0,UNRECOGNIZED_DROP
LCID,2025-07-03,0.0,UNRECOGNIZED_DROP
LCID,2025-07-10,0.0,UNRECOGNIZED_DROP
LCID,2025-07-22,0.0,UNRECOGNIZED_DROP
LCID,2025-07-28,0.0,UNRECOGNIZED_DROP
LCID,2025-08-05,0.0,UNRECOGNIZED_DROP
LCID,2025-08-15,0.0,UNRECOGNIZED_DROP
LCID,2025-08-21,0.0,UNRECOGNIZED_DROP
LCID,2025-08-28,0.0,UNRECOGNIZED_DROP
LRCX,2024-10-03,10.0,FIXED(dry)
LRCX,2024-10-03,10.0,FIXED_HOURLY(dry)
LYFT,2023-02-10,0.0,UNRECOGNIZED_DROP
MNST,2023-03-28,2.0,FIXED(dry)
MNST,2023-03-28,2.0,FIXED_HOURLY(dry)
MSTR,2024-08-08,10.0,OK
NDAQ,2022-08-29,3.0,FIXED(dry)
NEARUSD,2022-05-11,0.0,UNRECOGNIZED_DROP
NEE,2020-10-27,4.0,FIXED_HOURLY(dry)
NFLX,2025-11-17,10.0,OK
NFLX,2022-04-20,0.0,REAL_EVENT
NOW,2025-12-18,5.0,FIXED(dry)
NOW,2025-12-18,5.0,FIXED_HOURLY(dry)
NTRA,2022-03-09,0.0,UNRECOGNIZED_DROP
NVDA,2021-07-20,4.0,OK
NVDA,2024-06-10,10.0,OK
NVO,2023-09-20,2.0,FIXED(dry)
NVO,2023-09-20,2.0,FIXED_HOURLY(dry)
