trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
10,slip_5bps,holdout_robust_score,-81.25520541099971,-0.0296,2.32,0.5222,0.0,73.2668,35.13,0.92,7503872,301.3795862197876,,,,,-81.25520541099971,-2.826921054640844,-9.882961536078696,-13.3954209108073,-0.7072699397162897,34.10034274070529,0.3,0.8327680141292149,-13.3954209108073,1.0656408378939435,34.10034274070529,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
11,slip_10bps,holdout_robust_score,-207.49615120083993,-0.2195,-0.68,0.4979,0.0,75.5499,35.06,0.92,7372800,300.42762899398804,,,,,-207.49615120083993,-28.8504096985001,-35.33469213123758,-36.72130520183812,-6.14488620968741,48.112191827546624,1.0,-25.7649112860283,-36.72130520183812,-4.150798112740728,48.11219182754662,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
12,fee_2x,holdout_robust_score,-127.3812722562892,-0.0723,0.11,0.5607,0.0,88.2236,38.19,0.91,7700480,300.7613663673401,,,,,-127.3812722562892,-9.376815858880633,-18.33386959034658,-21.516940963359467,-2.8926812468211756,29.878211252158437,0.8,-5.664746438900802,-21.516940963359467,-0.4422031224293143,26.952653960537138,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
13,trade_pen_01,holdout_robust_score,-263.85409062816404,-0.5039,-4.64,0.4717,0.0,107.0053,42.42,0.92,7471104,300.70797300338745,,,,,-263.85409062816404,-49.92624806643819,-52.485045868635204,-54.64324165520878,-6.370022695856296,56.22573733612337,1.0,-48.53162612073189,-54.64324165520878,-5.581714070995862,56.22573733612337,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
14,trade_pen_05,holdout_robust_score,-168.2965442154832,-0.2216,-1.28,0.5233,0.0,111.5759,41.54,0.94,7995392,300.73362708091736,,,,,-168.2965442154832,-19.90752225417154,-26.61028874156967,-27.028707880517196,-4.1182843776284415,38.75264656365947,1.0,-19.071719344573605,-27.028707880517196,-2.656453467146445,38.75264656365947,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
15,downside_pen,holdout_robust_score,-108.33064096836787,-0.0648,0.31,0.5504,0.0,87.5132,38.41,0.92,7307264,301.06558895111084,,,,,-108.33064096836787,-6.746562492529662,-13.52209428738708,-18.954258238155344,-1.6593541597795656,21.68205406154402,0.8,-4.170557040055282,-18.954258238155344,-0.07769720647608927,21.68205406154402,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.5,0.0,0.02,0.0,0.99
16,smooth_ds,holdout_robust_score,-140.78979152556917,-0.0617,0.25,0.514,0.0,84.7888,36.02,0.92,7766016,300.84883737564087,,,,,-140.78979152556917,-11.304048873700157,-15.578956267541015,-20.30372046151833,-2.4149647662397875,36.35729074471218,1.0,-9.851626186918667,-20.30372046151833,-1.2243840249157998,36.35729074471215,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.5,0.02,0.0,0.99
17,reg_combo_1,holdout_robust_score,-168.56050119296776,-0.1586,-0.67,0.5313,0.0,103.5473,38.51,0.94,7864320,301.02317905426025,,,,,-168.56050119296776,-23.21496883604908,-27.299480787674796,-30.133102759808306,-5.065515482567393,30.36541671178436,1.0,-20.98018003465968,-30.133102759808306,-3.5787668421476204,30.36541671178436,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
18,reg_combo_2,holdout_robust_score,33.77255120062282,0.278,2.56,0.5476,100.0,170.1154,48.6,0.96,6979584,300.4487795829773,,,,,33.77255120062282,22.93966545090227,22.2642872940307,21.275032251312858,3.501349252581213,30.94369073675795,0.0,22.735665398510047,21.275032251312858,3.5109900058921117,30.94369073675795,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
19,reg_combo_3,holdout_robust_score,-6.966626990830677,0.1157,2.82,0.5691,100.0,114.7284,46.01,0.94,6979584,300.83704137802124,,,,,-6.966626990830677,9.9107045031686,6.006854120356529,5.466893837004591,1.5451420536994525,25.87599819908113,0.0,7.541459395999427,5.466893837004591,1.772812824559322,25.87599819908113,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
20,robust_reg_wd02,holdout_robust_score,1.3038227506411295,0.0651,2.17,0.511,99.0,196.4193,48.31,0.96,7274496,300.94547510147095,,,,,1.3038227506411295,8.419521059410439,5.147717931201387,3.574392840483033,1.547808141865874,14.286406878281927,0.0,8.200458711302163,5.080107185962243,2.0386769013228596,14.286406878281927,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.02,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
21,robust_reg_tp005,holdout_robust_score,-112.45177114238712,-0.1155,0.37,0.4959,0.0,154.354,47.91,0.95,7045120,301.43478441238403,,,,,-112.45177114238712,-8.404137845169789,-9.641432977987952,-10.57847137066341,-1.2444851771603154,32.9748650263808,1.0,-9.15814609265246,-10.57847137066341,-1.1083082831654232,32.9748650263808,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
