checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
mixed23_fresh_robust/robust_reg_tp005_sm001,23sym,30,8.81,179.42,2.709,22.87,22,50.0,1.4
mixed23_fresh_robust/robust_reg_tp005_sm001,23sym,60,15.65,142.14,2.584,24.13,46,50.0,1.3
mixed23_fresh_robust/robust_reg_tp005_sm001,23sym,120,68.21,386.38,3.693,28.4,85,54.1,1.4
mixed23_fresh_robust/robust_reg_tp01,23sym,30,20.02,821.43,5.605,13.72,17,64.7,1.8
mixed23_fresh_robust/robust_reg_tp01,23sym,60,14.49,127.78,2.564,15.13,32,59.4,1.9
mixed23_fresh_robust/robust_reg_tp01,23sym,120,131.63,1186.99,6.117,24.34,67,65.7,1.8
mixed23_fresh_robust/robust_reg_wd02,23sym,30,-13.98,-83.99,-3.719,18.46,18,38.9,1.7
mixed23_fresh_robust/robust_reg_wd02,23sym,60,4.53,30.91,1.248,18.16,37,56.8,1.6
mixed23_fresh_robust/robust_reg_wd02,23sym,120,-13.77,-36.27,-0.545,37.55,80,48.8,1.5
mixed23_fresh_sds_temp/robust_reg_tp005_sds02,23sym,30,-27.83,-98.11,-7.064,31.58,19,31.6,1.6
mixed23_fresh_sds_temp/robust_reg_tp005_sds02,23sym,60,-29.16,-87.72,-3.658,32.37,31,48.4,1.9
mixed23_fresh_sds_temp/robust_reg_tp005_sds02,23sym,120,-14.11,-37.04,-0.327,38.75,63,57.1,1.9
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t01,23sym,30,15.0,447.77,4.272,16.9,10,50.0,3.0
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t01,23sym,60,2.07,13.25,0.863,22.5,18,44.4,3.3
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t01,23sym,120,136.93,1278.69,6.428,24.09,40,60.0,3.0
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t05,23sym,30,15.48,476.23,4.52,16.05,13,61.5,2.3
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t05,23sym,60,28.14,351.88,3.931,16.05,28,53.6,2.1
mixed23_fresh_sds_temp/robust_reg_tp005_sds02_t05,23sym,120,275.44,5492.08,10.459,19.22,55,69.1,2.2
mixed23_fresh_targeted/reg_combo_2,23sym,30,20.83,899.26,6.903,13.43,17,47.1,1.8
mixed23_fresh_targeted/reg_combo_2,23sym,60,22.4,241.9,3.423,21.0,36,52.8,1.7
mixed23_fresh_targeted/reg_combo_2,23sym,120,31.18,128.3,2.397,42.56,76,52.6,1.6
